year	site	species	id	sex	infected	strain	strain.2	type
2009	kyrg	p.troch	5045	m	0	NA	NA	NA
2009	kyrg	p.troch	5046	m	0	NA	NA	NA
2009	kyrg	p.troch	97377	m	0	NA	NA	NA
2009	kyrg	p.troch	97394	m	0	NA	NA	NA
2009	kyrg	p.troch	97399	m	0	NA	NA	NA
2009	kyrg	p.troch	5204	m	0	NA	NA	NA
2009	kyrg	p.troch	5206	m	0	NA	NA	NA
2009	kyrg	p.troch	5210	m	0	NA	NA	NA
2009	kyrg	p.troch	5211	m	0	NA	NA	NA
2009	kyrg	p.troch	5214	m	0	NA	NA	NA
2009	kyrg	p.troch	5226	m	0	NA	NA	NA
2009	kyrg	p.troch	5227	m	0	NA	NA	NA
2009	kyrg	p.troch	5230	m	0	NA	NA	NA
2009	kyrg	p.troch	5236	m	0	NA	NA	NA
2009	kyrg	p.troch	5241	m	0	NA	NA	NA
2009	kyrg	p.troch	5244	m	0	NA	NA	NA
2009	kyrg	p.troch	5245	m	0	NA	NA	NA
2009	kyrg	p.troch	5250	m	0	NA	NA	NA
2009	kyrg	p.troch	5251	m	0	NA	NA	NA
2009	kyrg	p.troch	5252	m	0	NA	NA	NA
2009	kyrg	p.troch	5254	m	0	NA	NA	NA
2009	kyrg	p.troch	6218	m	0	NA	NA	NA
2009	kyrg	p.troch	6246	m	0	NA	NA	NA
2009	kyrg	p.troch	6252	m	0	NA	NA	NA
2009	kyrg	p.troch	6287	m	0	NA	NA	NA
